日付け,終値,始値,高値,安値,出来高,前日比%
2020年8月25日,"904,090","1,246,899","1,246,899","1,246,811",2.99K,-0.01%
2020年8月24日,"878,897","1,235,514","1,246,899","1,235,514",3.00K,0.92%
2020年8月23日,"908,061","1,237,485","1,237,485","1,235,514",2.20K,-0.16%
2020年8月22日,"909,700","1,222,031","1,237,485","1,222,031",3.05K,1.26%
2020年8月21日,"907,725","1,254,646","1,254,646","1,222,031",4.24K,-2.60%
2020年8月20日,"902,578","1,249,355","1,257,673","1,249,355",3.61K,0.43%
2020年8月19日,"861,991","1,261,745","1,261,745","1,249,355",7.81K,-0.98%
2020年8月18日,"847,776","1,305,300","1,305,300","1,261,745",8.07K,-3.34%
2020年8月17日,"841,000","1,269,993","1,305,300","1,265,128",10.04K,2.78%
2020年8月16日,"823,796","1,264,963","1,269,993","1,260,326",4.12K,0.40%
2020年8月15日,"780,152","1,256,372","1,264,963","1,256,372",5.78K,0.68%
2020年8月14日,"782,614","1,260,621","1,260,621","1,256,372",5.22K,-0.33%
2020年8月13日,"771,111","1,237,245","1,260,576","1,220,509",7.12K,1.89%
2020年8月12日,"748,608","1,216,250","1,237,245","1,216,250",6.10K,1.69%
2020年8月11日,"696,036","1,261,304","1,261,304","1,215,450",9.19K,-3.54%
2020年8月10日,"727,133","1,238,888","1,261,304","1,238,888",8.91K,1.81%
2020年8月9日,"685,317","1,247,789","1,247,789","1,238,888",3.05K,-0.75%
2020年8月8日,"691,919","1,232,000","1,248,210","1,232,000",3.83K,1.32%
2020年8月7日,"701,387","1,244,183","1,244,183","1,232,000",7.22K,-0.98%
2020年8月6日,"695,829","1,241,698","1,244,183","1,241,698",7.99K,0.20%
2020年8月5日,"689,388","1,184,018","1,241,698","1,184,018",8.43K,4.87%
2020年8月4日,"693,135","1,192,124","1,199,860","1,184,018",5.06K,-0.74%
2020年8月3日,"703,784","1,174,208","1,192,787","1,174,208",6.68K,1.58%
2020年8月2日,"729,042","1,253,271","1,253,271","1,174,208",14.15K,-6.31%
2020年8月1日,"709,028","1,201,369","1,253,271","1,201,369",12.33K,4.32%
2020年7月31日,"716,759","1,162,795","1,201,369","1,162,795",10.94K,3.32%
2020年7月30日,"691,622","1,167,267","1,167,267","1,152,869",6.71K,-0.38%
2020年7月29日,"714,082","1,148,483","1,167,267","1,148,483",8.91K,1.64%
2020年7月28日,"704,000","1,161,792","1,161,792","1,148,483",13.26K,-1.08%
2020年7月27日,"725,049","1,052,800","1,161,005","1,052,800",17.47K,10.28%
2020年7月26日,"743,130","1,030,800","1,052,800","1,030,800",5.83K,2.13%
2020年7月25日,"747,348","1,014,790","1,030,800","1,014,790",2.83K,1.58%
2020年7月24日,"745,667","1,026,771","1,026,771","1,014,790",3.05K,-1.19%
2020年7月23日,"765,480","1,021,745","1,027,000","1,021,745",2.79K,0.51%
2020年7月22日,"786,783","1,003,851","1,021,745","999,112",3.41K,1.78%
2020年7月21日,"783,656","983,258","1,003,851","983,258",4.94K,2.09%
2020年7月20日,"776,226","987,709","987,709","983,258",1.58K,-0.41%
2020年7月19日,"777,195","983,008","987,320","983,008",1.39K,0.44%
2020年7月18日,"798,557","981,400","983,008","981,400",0.97K,0.16%
2020年7月17日,"809,923","981,001","981,400","981,001",1.71K,0.04%
2020年7月16日,"805,796","984,953","984,953","981,001",3.35K,-0.40%
2020年7月15日,"818,782","992,629","992,629","984,953",2.65K,-0.77%
2020年7月14日,"743,000","991,999","992,629","988,198",2.71K,0.06%
2020年7月13日,"718,468","994,403","998,752","991,999",3.31K,-0.24%
2020年7月12日,"711,586","988,877","994,403","988,877",2.74K,0.56%
2020年7月11日,"689,333","994,063","994,063","988,877",1.37K,-0.50%
2020年7月10日,"691,935","991,400","993,856","991,400",2.94K,0.25%
2020年7月9日,"700,705","1,012,852","1,012,852","991,400",3.52K,-2.12%
2020年7月8日,"701,486","996,682","1,012,852","996,682",3.98K,1.62%
2020年7月7日,"703,648","1,003,420","1,003,420","996,689",2.32K,-0.70%
2020年7月6日,"727,046","977,116","1,003,670","977,116",4.64K,2.72%
2020年7月5日,"725,923","983,699","984,000","970,000",2.08K,-0.67%
2020年7月4日,"729,500","976,000","989,611","974,239",1.44K,0.79%
2020年7月3日,"727,098","979,088","983,923","974,236",2.83K,-0.32%
2020年7月2日,"698,797","992,614","997,481","965,320",4.11K,-1.36%
2020年7月1日,"710,599","987,501","999,900","982,423",2.90K,0.52%
2020年6月30日,"712,522","990,150","992,533","977,904",2.58K,-0.24%
2020年6月29日,"727,854","979,187","993,721","970,500",4.18K,1.14%
2020年6月28日,"757,653","969,100","988,162","962,500",3.06K,0.99%
2020年6月27日,"754,160","983,990","988,022","951,200",3.87K,-1.51%
2020年6月26日,"752,993","991,379","997,098","970,000",5.20K,-0.75%
2020年6月25日,"741,351","996,110","1,001,171","965,280",5.77K,-0.47%
2020年6月24日,"725,698","1,024,910","1,030,569","985,259",5.37K,-2.81%
2020年6月23日,"728,368","1,035,188","1,039,922","1,021,870",3.62K,-0.99%
2020年6月22日,"755,162","993,100","1,044,112","990,581",5.10K,4.24%
2020年6月21日,"751,915","1,001,500","1,007,940","992,012",1.76K,-0.84%
2020年6月20日,"747,964","996,198","1,005,925","985,000",2.47K,0.53%
2020年6月19日,"750,600","1,004,324","1,009,599","988,670",4.17K,-0.81%
2020年6月18日,"747,699","1,012,444","1,015,020","993,531",2.99K,-0.80%
2020年6月17日,"737,401","1,023,100","1,026,394","990,383",5.11K,-1.04%
2020年6月16日,"739,940","1,014,726","1,030,900","1,008,498",5.14K,0.83%
2020年6月15日,"745,550","1,002,600","1,019,478","956,000",8.87K,1.21%
2020年6月14日,"748,573","1,018,635","1,019,630","996,366",2.69K,-1.57%
2020年6月13日,"745,978","1,019,130","1,020,339","1,006,675",1.77K,-0.05%
2020年6月12日,"747,052","991,979","1,027,502","988,888",4.88K,2.74%
2020年6月11日,"747,399","1,059,006","1,066,207","977,777",8.85K,-6.28%
2020年6月10日,"745,697","1,055,683","1,068,000","1,043,124",4.23K,0.33%
2020年6月9日,"732,494","1,061,999","1,069,997","1,040,213",5.07K,-0.66%
2020年6月8日,"691,512","1,068,671","1,072,000","1,048,789",4.38K,-0.62%
2020年6月7日,"696,700","1,060,890","1,073,500","1,034,063",4.43K,0.73%
2020年6月6日,"697,003","1,055,001","1,066,674","1,045,000",3.02K,0.56%
2020年6月5日,"695,424","1,068,556","1,076,510","1,050,883",5.74K,-1.27%
2020年6月4日,"720,796","1,054,000","1,076,999","1,031,001",6.14K,1.38%
2020年6月3日,"726,734","1,036,500","1,055,392","1,021,500",4.32K,1.68%
2020年6月2日,"725,895","1,096,014","1,104,000","1,014,510",9.45K,-5.49%
2020年6月1日,"718,094","1,017,708","1,105,199","1,014,541",6.85K,7.75%
2020年5月31日,"718,992","1,044,454","1,044,888","1,012,000",4.03K,-2.54%
2020年5月30日,"720,741","1,016,000","1,047,454","1,007,500",4.19K,2.80%
2020年5月29日,"721,676","1,031,382","1,034,045","1,002,501",4.27K,-1.49%
2020年5月28日,"722,260","992,287","1,035,600","982,500",6.15K,3.94%
2020年5月27日,"717,528","951,651","993,545","948,730",5.89K,4.27%
2020年5月26日,"718,583","960,276","972,587","935,926",5.12K,-0.90%
2020年5月25日,"717,445","941,326","968,184","933,582",6.14K,2.01%
2020年5月24日,"716,625","988,442","1,002,680","941,192",5.39K,-4.77%
2020年5月23日,"716,700","988,518","1,004,725","980,000",3.29K,-0.01%
2020年5月22日,"717,000","977,238","997,390","960,500",5.86K,1.15%
2020年5月21日,"703,190","1,025,000","1,031,216","950,000",8.98K,-4.66%
2020年5月20日,"707,883","1,053,361","1,059,150","1,003,897",6.64K,-2.69%
